Date,Open,High,Low,Close,Adj Close,Volume
2023-11-09,8.678757,9.041899,8.340990,9.027598,9.027598,251586870
2023-11-10,9.028281,9.507193,8.988096,9.201963,9.201963,239965131
2023-11-11,9.201487,9.442711,8.913542,9.238029,9.238029,150318955
2023-11-12,9.238590,9.699929,8.940471,9.531819,9.531819,165116551
2023-11-13,9.532113,10.518385,9.206845,9.206845,9.206845,311493522
2023-11-14,9.204864,9.393053,8.750872,9.101849,9.101849,229325518
2023-11-15,9.103490,9.765412,8.971772,9.671700,9.671700,205691957
2023-11-16,9.670991,10.183982,9.497810,9.591050,9.591050,254070956
2023-11-17,9.592653,10.200350,9.096176,9.398934,9.398934,195095225
2023-11-18,9.399250,9.407468,8.913011,9.230511,9.230511,142629411
2023-11-19,9.231110,9.389910,9.000265,9.383025,9.383025,103089472
2023-11-20,9.382280,9.542336,8.952432,8.973598,8.973598,134337224
2023-11-21,8.973502,9.076369,8.249315,8.249315,8.249315,172057096
2023-11-22,8.247881,8.916349,8.223486,8.814625,8.814625,117225175
2023-11-23,8.814556,9.069964,8.684701,8.749003,8.749003,90109866
2023-11-24,8.748772,9.081048,8.726393,8.903090,8.903090,111252109
2023-11-25,8.903998,9.646468,8.882745,9.479573,9.479573,122332293
2023-11-26,9.483279,9.998532,9.347326,9.930933,9.930933,277280752
2023-11-27,9.929181,9.929181,8.980648,9.305076,9.305076,201805511
2023-11-28,9.305158,9.350123,8.820473,9.246330,9.246330,189010990
2023-11-29,9.246364,9.316175,9.035943,9.220939,9.220939,162377611
2023-11-30,9.220555,9.372463,9.143114,9.255597,9.255597,136161724
2023-12-01,9.255592,9.463387,9.200273,9.462127,9.462127,134878841
2023-12-02,9.462038,9.696915,9.413126,9.640365,9.640365,136046888
2023-12-03,9.640836,9.647130,9.381061,9.543779,9.543779,148810451
2023-12-04,9.542865,9.865264,9.368751,9.746048,9.746048,317967890
2023-12-05,9.749143,9.920348,9.498296,9.894027,9.894027,179846965
2023-12-06,9.893859,10.260513,9.741239,9.743257,9.743257,232865207
2023-12-07,9.745469,10.023376,9.600399,9.903890,9.903890,166694026
2023-12-08,9.904496,10.658415,9.852676,10.407621,10.407621,206551471
2023-12-09,10.408695,11.276223,10.408695,10.484677,10.484677,293581731
2023-12-10,10.485207,10.687117,10.154413,10.666179,10.666179,149493512
2023-12-11,10.668733,10.687540,9.522407,9.861038,9.861038,247396425
2023-12-12,9.861002,12.307072,9.845497,11.717423,11.717423,685083352
2023-12-13,11.714094,11.844656,10.830078,11.621902,11.621902,449466013
2023-12-14,11.623516,11.902587,11.222899,11.550127,11.550127,288324974
2023-12-15,11.547547,11.547547,10.873416,10.887300,10.887300,208600879
2023-12-16,10.883958,12.054756,10.771584,12.054756,12.054756,242710537
2023-12-17,12.055373,12.055373,11.098387,11.130992,11.130992,231339599
2023-12-18,11.128462,11.139822,10.302029,10.880044,10.880044,212567651
2023-12-19,10.880760,11.009117,10.315250,10.415341,10.415341,180601232
2023-12-20,10.414934,10.886349,10.304658,10.662838,10.662838,210651624
2023-12-21,10.663290,11.490276,10.522650,11.401319,11.401319,288775843
2023-12-22,11.401621,11.725264,11.029583,11.401579,11.401579,247611905
2023-12-23,11.401566,11.415492,11.081182,11.347039,11.347039,162421922
2023-12-24,11.346521,11.725569,11.132852,11.244525,11.244525,263586565
2023-12-25,11.245657,12.048232,11.095605,11.932140,11.932140,256974307
2023-12-26,11.932442,12.509015,11.263978,11.616012,11.616012,463823803
2023-12-27,11.617506,12.082698,11.190846,11.965517,11.965517,213456250
2023-12-28,11.966828,12.214082,11.347683,11.429394,11.429394,235790476
2023-12-29,11.428312,11.524373,10.795180,10.991527,10.991527,207857738
2023-12-30,10.991406,11.016786,10.628420,10.766783,10.766783,135223165
2023-12-31,10.763534,10.961061,10.560581,10.591960,10.591960,129697557
2024-01-01,10.593066,11.197029,10.505120,11.197029,11.197029,123659503
2024-01-02,11.198248,11.418045,10.976151,10.983018,10.983018,174274563
2024-01-03,10.983485,11.369720,9.624232,9.932850,9.932850,313754168
2024-01-04,9.933536,10.343886,9.824402,10.264856,10.264856,223116538
2024-01-05,10.265112,10.726692,9.876456,10.313005,10.313005,300123864
2024-01-06,10.315001,10.384975,9.625674,9.830917,9.830917,197082040
2024-01-07,9.831390,9.908353,9.345490,9.408579,9.408579,148117125
2024-01-08,9.408587,9.979900,9.011243,9.956762,9.956762,189479646
2024-01-09,9.957957,10.042370,9.407674,9.657955,9.657955,212448624
2024-01-10,9.658492,10.609097,9.399939,10.380351,10.380351,212111345
2024-01-11,10.381795,10.884232,10.269418,10.670727,10.670727,237534323
2024-01-12,10.668320,10.932053,9.724665,9.964219,9.964219,233148781
2024-01-13,9.962931,10.329755,9.699695,10.209227,10.209227,133227135
2024-01-14,10.209913,10.560498,9.973866,9.985925,9.985925,154873021
2024-01-15,9.984011,10.312337,9.983682,10.189070,10.189070,160265773
2024-01-16,10.187008,10.566076,10.083625,10.286283,10.286283,153227507
2024-01-17,10.285895,10.334930,10.057508,10.140358,10.140358,119823026
2024-01-18,10.140104,10.247045,9.591167,9.690580,9.690580,130717125
2024-01-19,9.690479,9.878802,9.305085,9.703624,9.703624,135734598
2024-01-20,9.704098,9.841558,9.613837,9.832260,9.832260,79330972
2024-01-21,9.833428,9.928915,9.631036,9.631036,9.631036,80559785
2024-01-22,9.634312,9.654693,9.079175,9.181391,9.181391,137526619
2024-01-23,9.180940,9.321904,8.729577,9.217303,9.217303,144903357
2024-01-24,9.217483,9.358111,9.149294,9.344945,9.344945,94485444
2024-01-25,9.344584,9.345619,9.063590,9.224383,9.224383,85852842
2024-01-26,9.224714,9.739470,9.172391,9.633867,9.633867,90316709
2024-01-27,9.633261,9.724893,9.445755,9.673403,9.673403,76745021
2024-01-28,9.673337,9.757541,9.358603,9.423107,9.423107,96307184
2024-01-29,9.423437,9.689122,9.391015,9.661090,9.661090,95382546
2024-01-30,9.661224,9.717515,9.331722,9.412413,9.412413,108641563
2024-01-31,9.411135,9.428342,9.029031,9.100729,9.100729,130093033
2024-02-01,9.100364,9.218162,8.979375,9.135396,9.135396,103679411
2024-02-02,9.135057,9.270637,9.098990,9.161083,9.161083,92495504
2024-02-03,9.161515,9.210210,9.050519,9.050519,9.050519,64676697
2024-02-04,9.050369,9.104316,8.956735,8.962186,8.962186,63342774
2024-02-05,8.961970,9.163747,8.860245,9.045736,9.045736,77898398
2024-02-06,9.045921,9.222576,9.034174,9.123825,9.123825,97969079
2024-02-07,9.123773,9.654230,9.123773,9.589556,9.589556,130997934
2024-02-08,9.589550,9.726901,9.465067,9.637903,9.637903,132177428
2024-02-09,9.638338,10.186986,9.622559,10.019990,10.019990,172636743
2024-02-10,10.020430,10.092374,9.933176,9.973591,9.973591,101536641
2024-02-11,9.973519,10.250879,9.653437,9.737348,9.737348,165853278
2024-02-12,9.738323,10.014410,9.511520,9.935027,9.935027,167491039
2024-02-13,9.933801,10.376452,9.885894,10.299542,10.299542,234596480
2024-02-14,10.298987,10.407956,10.078785,10.242606,10.242606,185838725
2024-02-15,10.243919,10.429502,10.127116,10.334211,10.334211,203017909
2024-02-16,10.334752,10.469524,10.049156,10.243735,10.243735,153053032
2024-02-17,10.244085,10.332072,9.908785,10.279834,10.279834,128581021
2024-02-18,10.279777,10.634159,10.214872,10.582174,10.582174,132598975
2024-02-19,10.582217,10.782183,10.486971,10.746743,10.746743,163175173
2024-02-20,10.746690,10.746690,10.055757,10.368412,10.368412,195067015
2024-02-21,10.368490,10.368490,9.761174,9.982490,9.982490,178105459
2024-02-22,9.983050,10.033029,9.722581,9.780396,9.780396,162876933
2024-02-23,9.779836,10.039384,9.710063,9.968556,9.968556,161005573
2024-02-24,9.967510,10.567423,9.786240,10.413626,10.413626,176170034
2024-02-25,10.414198,10.442080,10.226974,10.372126,10.372126,109577577
2024-02-26,10.371762,11.157527,10.281115,11.136368,11.136368,236640142
2024-02-27,11.136882,11.477115,10.888783,11.212992,11.212992,275564999
2024-02-28,11.212087,11.708478,10.866073,11.412553,11.412553,311562245
2024-02-29,11.411860,12.198293,11.035068,11.285693,11.285693,327586839
2024-03-01,11.281979,11.638577,11.232582,11.638577,11.638577,208847577
2024-03-02,11.637955,12.201697,11.637955,12.201697,12.201697,257444822
2024-03-03,12.201997,12.265738,11.518514,12.168292,12.168292,242319281
2024-03-04,12.169373,12.840124,12.119049,12.477430,12.477430,372241416
2024-03-05,12.480542,12.870393,10.994716,12.027962,12.027962,741440668
2024-03-06,12.027884,14.275356,11.557733,14.204863,14.204863,559733764
